experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E21,val,90m,3854,2417118,2603717,53649594,627.2,0.9568885366418475,0.9537144222497393,0.9144230733339263,0.9552988428430067,0.9552988428430067
E22,val,50m,2353,2076498,2509828,52910815,882.5,0.9622367799641329,0.9547131201635446,0.9202338425835801,0.9584601856047394,0.9584601856047394
E22,val,70m,2922,2231722,4741293,36366208,763.8,0.9421802671801288,0.8846611230393187,0.8391061371820145,0.912515183563839,0.912515183563839
E22,val,90m,3854,2463222,2626484,53626827,639.1,0.956084509749669,0.9533096994059587,0.9133173275063756,0.9546950883434491,0.9546950883434491
E23,val,50m,2353,2055940,2540573,52880070,873.8,0.9625757312917321,0.9541583629767686,0.9200280747378443,0.9583485646307152,0.9583485646307152
E23,val,70m,2922,2128196,4831850,36275651,728.3,0.9445837808904902,0.8824581917543447,0.8390208442805934,0.9124647465415868,0.9124647465415868
E23,val,90m,3854,2406704,2730365,53522946,624.5,0.9569690852705123,0.9514630347714094,0.9124263947085577,0.9542081172202247,0.9542081172202247
E24,val,50m,2353,2079914,2520990,52899653,883.9,0.9621693273793863,0.9545117150661696,0.9199850533621772,0.9583252242002067,0.9583252242002067
E24,val,70m,2922,2135871,4901292,36206209,731.0,0.9442943366661357,0.8807689136831722,0.8372660901652147,0.9114260527063057,0.9114260527063057
E24,val,90m,3854,2412921,2722619,53530692,626.1,0.9568686956275045,0.9516007333328328,0.9124617377846921,0.954227443882507,0.954227443882507
E25,val,50m,2353,2109568,2634259,52786384,896.5,0.9615715198818285,0.9524679098364107,0.9175419850276564,0.9569980654315872,0.9569980654315872
E25,val,70m,2922,2311107,4831310,36276191,790.9,0.9401070528441745,0.8824713280430234,0.8354987105989192,0.9103778779842321,0.9103778779842321
E25,val,90m,3854,2408707,2777994,53475317,625.0,0.9568981109878542,0.9506163468315653,0.9115833178463092,0.9537468854596901,0.9537468854596901
E26,val,50m,2353,2109290,2571154,52849489,896.4,0.961620508344989,0.9536065649761571,0.9186433260751392,0.9575967701660903,0.9575967701660903
E26,val,70m,2922,2232206,4814747,36292754,763.9,0.9420581877307571,0.8828742472085548,0.8374019233678696,0.9115065274699963,0.9115065274699963
E26,val,90m,3854,2462456,2649943,53603368,638.9,0.9560791971950667,0.9528926750640493,0.9129297076201,0.9544832766028682,0.9544832766028682
E28,val,50m,2353,2050413,2532132,52888511,871.4,0.9626783189273949,0.9543106708451562,0.9202634279070827,0.9584762325136696,0.9584762325136696
E28,val,70m,2922,2138491,4828753,36278748,731.9,0.9443351199704879,0.8825335308025636,0.8388927232840425,0.9123889748020542,0.9123889748020542
E28,val,90m,3854,2408949,2651479,53601832,625.1,0.9569913335077386,0.952865370004619,0.9137362249596233,0.9549238949886122,0.9549238949886122
E29,val,50m,2353,2095532,2538620,52882023,890.6,0.961883863332953,0.9541936025534729,0.9194287172260657,0.9580233003440862,0.9580233003440862
E29,val,70m,2922,2114493,4848873,36258628,723.6,0.9448965071149649,0.8820440824169757,0.8388929950802344,0.9123891355555811,0.9123891355555811
E29,val,90m,3854,2400213,2706315,53546996,622.8,0.9570986105848445,0.9518905651615761,0.9129374050909527,0.9544874836587202,0.9544874836587202
E0,val,50m,2353,2236099,2614743,52805900,950.3,0.9593746767809052,0.9528200529900006,0.9158668729495661,0.9560861309111175,0.9560861309111175
E0,val,70m,2922,2303292,4891787,36215714,788.3,0.9402037529213477,0.8810001366903796,0.8342559879060473,0.9096396505249176,0.9096396505249176
E0,val,90m,3854,2523533,2822628,53430683,654.8,0.9549000382741474,0.9498229002022638,0.9090430748544429,0.9523547025503905,0.9523547025503905
E5,val,50m,2353,2131653,2656398,52764245,905.9,0.9611691751540326,0.952068437748005,0.9168052131230335,0.9565971616169501,0.9565971616169501
E5,val,70m,2922,2209136,4915877,36191624,756.0,0.9424715552504667,0.8804141122565421,0.8355132463307324,0.9103865068813404,0.9103865068813404
E5,val,90m,3854,2448873,2767852,53485459,635.4,0.9562187852712697,0.9507966384414227,0.9111323524180959,0.9535000035609974,0.9535000035609974
E6,val,50m,2353,2101145,2619785,52800858,893.0,0.9617291740703869,0.9527290760592566,0.9179279684421477,0.9572079697943421,0.9572079697943421
E6,val,70m,2922,2148306,4906916,36200585,735.2,0.9439799706333074,0.8806321016692286,0.836895379156836,0.9112063633596641,0.9112063633596641
E6,val,90m,3854,2418364,2758428,53494883,627.5,0.9567479241547161,0.9509641663581351,0.9117667596842924,0.9538472777242563,0.9538472777242563
E12,val,50m,2353,2055940,2540573,52880070,873.8,0.9625757312917321,0.9541583629767686,0.9200280747378443,0.9583485646307152,0.9583485646307152
E12,val,70m,2922,2128196,4831850,36275651,728.3,0.9445837808904902,0.8824581917543447,0.8390208442805934,0.9124647465415868,0.9124647465415868
E12,val,90m,3854,2406704,2730365,53522946,624.5,0.9569690852705123,0.9514630347714094,0.9124263947085577,0.9542081172202247,0.9542081172202247
E20,val,50m,2353,2071492,2517385,52903258,880.4,0.9623192101828549,0.954576763030337,0.9201825258359236,0.9584323505239019,0.9584323505239019
E20,val,70m,2922,2092788,4878395,36229106,716.2,0.9453892336323436,0.8813259166496138,0.8386311026761862,0.9122342175714659,0.9122342175714659
E20,val,90m,3854,2424540,2644570,53608741,629.1,0.9567303581598212,0.9529881894418607,0.9136111852494379,0.9548556073373382,0.9548556073373382
E30,val,50m,2353,1977192,2636930,52783713,840.3,0.9638940956143787,0.9524197147983272,0.9196115672307137,0.958122552425928,0.958122552425928
E30,val,70m,2922,2063479,4930400,36177101,706.2,0.9460395475173208,0.880060819070464,0.8379958249731629,0.911858246452109,0.911858246452109
E30,val,90m,3854,2394141,2693265,53560046,621.2,0.957212478129651,0.9521225515063444,0.9132544411307061,0.9546607304264096,0.9546607304264096
